brand,founded_year,creative_director,ceo,city,country,headquarters,website,notes
Miu Miu,1993,Miuccia Prada,Miuccia Prada,Milan,Italy,"Milan, Italy",https://www.miumiu.com,Unknown
Monique Lhuillier,1996,Monique Lhuillier,Monique Lhuillier,Los Angeles,USA,"Los Angeles, California, USA",https://moniquelhuillier.com,Unknown
Norma Kamali,1968,Norma Kamali,Norma Kamali,New York,USA,"New York, New York, USA",https://normakamali.com,Unknown
Oscar de la Renta,1965,Laura Kim,Alex Bolen,New York,USA,"New York, New York, USA",https://www.oscardelarenta.com,Unknown
Prada,1913,Miuccia Prada,Andrea Guerra,Milan,Italy,"Milan, Italy",https://www.prada.com,Unknown
Proenza Schouler,2002,Jack McCollough,Jack McCollough,New York,USA,"New York, New York, USA",https://proenzaschouler.com,Unknown
Ralph Lauren Collection,1967,Ralph Lauren,Patrice Louvet,New York,USA,"New York, New York, USA",https://www.ralphlauren.com,Unknown
Reformation,2009,Yael Aflalo,Hali Borenstein,Los Angeles,USA,"Los Angeles, California, USA",https://www.thereformation.com,Unknown
SIMKHAI,2010,Jonathan Simkhai,Jonathan Simkhai,Los Angeles,USA,"Los Angeles, California, USA",https://simkhai.com,Unknown
Self-Portrait,2013,Han Chong,Han Chong,London,United Kingdom,"London, England, UK",https://self-portrait.com,Unknown
Simone Rocha,2010,Simone Rocha,Simone Rocha,London,Ireland,"London, England, UK",https://simonerocha.com,Unknown
Staud,2015,Sarah Staudinger,Sarah Staudinger,Los Angeles,USA,"Los Angeles, California, USA",https://staud.clothing,Unknown
Stella McCartney,2001,Stella McCartney,Stella McCartney,London,United Kingdom,"London, England, UK",https://www.stellamccartney.com,Unknown
TOM FORD,2005,Haider Ackermann,Guillaume Jesel,New York,USA,"New York, New York, USA",https://www.tomfordfashion.com,Unknown
Toteme,2014,Elin Kling,Elin Kling,Stockholm,Sweden,"Stockholm, Sweden",https://toteme.com,Unknown
Ulla Johnson,1998,Ulla Johnson,Ulla Johnson,New York,USA,"New York, New York, USA",https://ullajohnson.com,Unknown
Veronica Beard,2010,Veronica Beard,Veronica Beard,New York,USA,"New York, New York, USA",https://veronicabeard.com,Unknown
Versace,1978,Dario Vitale,Emmanuel Gintzburger,Milan,Italy,"Milan, Italy",https://www.versace.com,Unknown
Zimmermann,1991,Nicky Zimmermann,Nicky Zimmermann,Sydney,Australia,"Sydney, Australia",https://zimmermann.com,Unknown
Mac Duggal,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Likely,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Dress The Population,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Chiara Boni La Petite Robe,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Alexia María,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Zhivago,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Nicholas the Label,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Ramy Brook,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Ronny Kobo,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Elliatt,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Cinq à Sept,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
SWF,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
PatBO,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Rebecca Vallance,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Hervé Léger,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Toccin,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Jason Wu Collection,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Area,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Brand,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Azeeza,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
The Attico,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
LaPointe,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
The New Arrivals Ilkyaz Ozel,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Sachin & Babi,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Milly,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Bronx and Banco,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Rebecca Taylor,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Sabina Musáyev,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
AS by DF,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
As It May,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Shoshanna,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Johanna Ortiz,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Et Ochs,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Hill House Home,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
Favorite Daughter,Unknown,Unknown,Unknown,Paris,France,"Paris, France",https://example.com,Auto-generated entry for database completeness
